Ticker,EV/Revenue,EV/FCF
QLYS,8.456550418607,19.883054512147027
ESTC,10.247321220330612,332.1691328764631
ADBE,10.447808873821423,29.210821439354653
SHOP,11.234453683852692,87.64115249502763
PAYC,4.716299434247677,27.715848136402435
SSNC,3.896820940612052,22.253451921959318
PATH,3.627596756141864,16.26502277370261
FIVN,3.5465120243210233,36.66590936446115
APPN,4.081235639381476,-18.535754894694325
ASAN,3.945050672486299,-82.79175813714139
SMAR,5.402272417456054,35.81847892624879
SNOW,13.859945963800321,51.852721740324384
DT,9.14327550208664,37.760997696185136
HUBS,12.971471949056092,112.28228467953909
BL,5.041112631272076,30.037936171931808
NCNO,7.572057371527858,67.10825620234331
CXM,2.453342476377738,35.13355291357059
LAW,1.597876515316098,-4.9707314259968465
GWRE,11.769971350021704,508.1952323540633
PCOR,9.559669940316418,193.2088509733007
OLO,1.6989764377609082,-19.716227734851564
VEEV,10.712479362416037,27.784170579773278
TWOU,0.9461245093572302,-16.740662863342187
NET,19.046631570586353,206.74533127971605
DDOG,17.930344480418952,63.8646770602529
MNDY,13.697288077895559,48.76841408182683
ZUO,3.0214637504893886,-45.35883925714683
TWLO,1.653036966064789,18.889418211527936
SPT,5.703734206921769,434.18001186402006
IOT,16.27116623372467,-669.902809205903
BIGC,2.259789291324331,-24.599438744634437
BILL,4.306878666147678,29.11693704212308
TDC,1.9255406612111292,9.94229868169014
PLTR,21.648931087113237,69.10238650119285
DBX,3.023831506236009,9.964980761428007
S,8.062759650585845,-57.47386827941565
DOMO,1.015521789152604,-35.29914786967419
QTWO,5.9196186377724835,93.25672455799642
AI,11.324908607732528,-16.139336207126796
DOCU,3.450164153283884,10.741258401483426
BRZE,6.918990368800339,-503.3738868157286
MSFT,15.610859323332468,55.622955082034466
U,3.5437043354941236,43.356349101404525
CRM,6.244142100123361,22.91556761255001
PANW,14.819709524569472,38.82175883247188
TEAM,11.236848724073436,47.154625177045205
NOW,15.932999398060417,52.86055384615385
ADSK,N/A,24.105975277037036
TENB,5.950371854615567,33.68288580358472
FSLY,2.153102255389456,-34.14542418353915
OKTA,6.092470808661069,28.252584918032788
WDAY,7.042263267116683,26.750282080586082
APPF,13.361175917285175,178.59566090010125
HCP,9.358453358301738,-238.50620235129583
ALVR,N/A,0.27951338277715726
PD,4.34885839066262,29.0728736845373
RNG,1.8419982591947346,12.524219978883805
RSKD,1.9387984812338295,97.40138690074274
EGHT,0.7592357840278302,8.916915063017761
PCTY,6.537087303060281,35.57983991399803
WIX,5.945432978263584,50.960084919071114
MDB,9.003910025543505,131.31096779113196
ZI,9.432558134731746,28.62795251714006
ZS,16.30736625453322,79.03695077318739
FROG,8.92648874204741,43.274540894794455
ONTF,0.2503297089940626,-2.848868682655544
GLBE,8.622959424226154,46.15491244447366
BOX,3.537540993369251,12.22367693450052
BASE,4.123212095291524,-23.489248995348543
KLTR,0.9003263991962186,-12.71563137950496
JAMF,3.7986627777748048,64.4692761731759
CRWD,29.536879656887212,97.1392164633326
SQSP,6.302060027500751,29.795591423460785
EVCM,3.2633415865993256,27.0341581600736
CFLT,10.370469218175641,-64.80308840561061
ZM,2.344267565289458,7.210508161314452
WKME,3.710408684642298,86.24366042664344
FRSH,4.1923829036671405,32.124043783242115
GTLB,10.563648136077227,183.18051958614916
